GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercicio-junit-elvisjuniorr,main.java.com.example.calculadora,Calculadora,0,55,0,8,0,18,0,12,0,8
exercicio-junit-elvisjuniorr,main.java.com.example.carrinho,Carrinho,0,53,0,4,0,17,0,8,0,6
exercicio-junit-elvisjuniorr,main.java.com.example.produto,Produto,8,22,0,0,4,7,2,4,2,4
exercicio-junit-elvisjuniorr,main.java.com.example.produto,ProdutoNaoEncontradoException,0,3,0,0,0,2,0,1,0,1
exercicio-junit-elvisjuniorr,main.java.com.example.jokenpo,Main,0,38,0,14,0,9,0,9,0,2
